asset,date,AdrActCnt,BlkCnt,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,TxCnt
btc,2009-07-19T00:00:00.000000000Z,70,70,1,,0.00000347971887407407,,,0
btc,2009-07-20T00:00:00.000000000Z,192,70,1,,0.00000347971887407407,,,1
btc,2009-07-21T00:00:00.000000000Z,82,82,1,,0.00000407624210962963,,,0
btc,2009-07-22T00:00:00.000000000Z,60,60,1,,0.00000298261617777778,,,0
btc,2009-07-23T00:00:00.000000000Z,76,76,1,,0.00000377798049185185,,,0
btc,2009-07-24T00:00:00.000000000Z,73,73,1,,0.00000362884968296296,,,0
btc,2009-07-25T00:00:00.000000000Z,32,32,1,,0.00000159072862814815,,,0
btc,2009-07-26T00:00:00.000000000Z,21,21,1,,0.00000104391566222222,,,0
btc,2009-07-27T00:00:00.000000000Z,74,74,1,,0.00000367855995259259,,,0
btc,2009-07-28T00:00:00.000000000Z,41,41,1,,0.00000203812105481481,,,0
btc,2009-07-29T00:00:00.000000000Z,22,19,1,,0.000000944495122962963,,,1
btc,2009-07-30T00:00:00.000000000Z,17,15,1,,0.000000745654044444444,,,1
btc,2009-07-31T00:00:00.000000000Z,17,17,1,,0.000000845074583703704,,,0
btc,2009-08-01T00:00:00.000000000Z,28,28,1,,0.00000139188754962963,,,0
btc,2009-08-02T00:00:00.000000000Z,23,23,1,,0.00000114333620148148,,,0
btc,2009-08-03T00:00:00.000000000Z,12,12,1,,0.000000596523235555555,,,0
btc,2009-08-04T00:00:00.000000000Z,81,81,1,,0.00000402653184,,,0
btc,2009-08-05T00:00:00.000000000Z,87,87,1,,0.00000432479345777778,,,0
btc,2009-08-06T00:00:00.000000000Z,90,90,1,,0.00000447392426666667,,,0
btc,2009-08-07T00:00:00.000000000Z,192,80,1,,0.00000397682157037037,,,1
btc,2009-08-08T00:00:00.000000000Z,80,80,1,,0.00000397682157037037,,,0
btc,2009-08-09T00:00:00.000000000Z,101,101,1,,0.00000502073723259259,,,0
btc,2009-08-10T00:00:00.000000000Z,75,75,1,,0.00000372827022222222,,,0
btc,2009-08-11T00:00:00.000000000Z,70,70,1,,0.00000347971887407407,,,0
btc,2009-08-12T00:00:00.000000000Z,63,63,1,,0.00000313174698666667,,,0
btc,2009-08-13T00:00:00.000000000Z,85,85,1,,0.00000422537291851852,,,0
btc,2009-08-14T00:00:00.000000000Z,63,63,1,,0.00000313174698666667,,,0
