Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
5bXMZZUtu3dyZRjSkhV3vfZsdbt18fVGoXdVrqDj8RFCjoyZ1ASNmQKTuwFcHwND67w9UFzR5XNTpJ9fy2TTk4Ws,1759091172,2025-09-28T20:26:12.000Z,TRANSFER,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,10290000000000,in,2124514.31,9,SOL,1.0
3uC7NMEBQijew56Ha3adp3Xy4nvh57BhSV3Xb68w9v2LuWkY3oNBWoUXLp5GWEf833x4CWmUM2JCU1Dj9KnNZfpK,1759088721,2025-09-28T19:45:21.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1427000000000,in,294150.19,9,SOL,1.0
47shbV2hHot2SPxVrvnGfrjEMPWRBCGQLKCLKXWba2Mdh3v5hSYxpdaxt3awbzkfNdpdKh7K5CzSNHYf9yfZm3r9,1759087643,2025-09-28T19:27:23.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1036000000000,in,213484.44,9,SOL,1.0
veWhBJj4bGs3cdjC1ExPgQnjHyabQYtCFNvqtCXS8urb2x8B5QdN6YF7vx2jMu6szxKB8Xruj964emiAWzYXwZu,1759087056,2025-09-28T19:17:36.000Z,TRANSFER,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,6481995000000,in,1331844.9,9,SOL,1.0
3g9aSVtRqqxjJS22LVF2Tr8UFrGa4wPo745d1Fqu2ASESTw2ZxxEMkWsR8q2Hwd9Bp9HuBECd3RYDme4CjHVTxBr,1759086922,2025-09-28T19:15:22.000Z,TRANSFER,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1195999761000,in,245870.74,9,SOL,1.0
4yvvNGT8HNNDxWBDTtyHJvvR9mk3iwaZkripzqhgbRD7mPvZADCBHTMAqBCD75196Qkc2tnw1Xhz7T4KhTb3ZFYg,1759086368,2025-09-28T19:06:08.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,852000000000,in,175966.2,9,SOL,1.0
49b2UDTUrJBtCf6bUqHjrNqzgC72K9W8oKmqXMtiv5KRU3NeZWTQ2CKLzz4yqwYRhz8L9cBboV6BBep9kKpZvyaB,1759085583,2025-09-28T18:53:03.000Z,TRANSFER,AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1377990000000,in,283814.14,9,SOL,1.0
4veo1twnn4wUWD4KSnCe824GedehCjPBZhLnoPP79rYZ4rR7y36CFBaazwdt9Sb9EasYNhj6dS9r4MD1sXDRLWo9,1759084457,2025-09-28T18:34:17.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,843000000000,in,173194.09,9,SOL,1.0
GbVhK65FM7zGucz4CCWUA8VxbebEadqFSGN4V5SP8yJLW73GJP2dAAWMW4NfaWp7XeczEg3nFyqN8XjNNi2JZib,1759083739,2025-09-28T18:22:19.000Z,TRANSFER,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1192999761000,in,244726.89,9,SOL,1.0
4PzkFZkmmnJnumhGoG6Xe6qeFtAPeZAFC6KZ7VJ3pmsqzXsMgxjKyxJ2eA7EdPYBWsb9MjekNSKr9vEV7u3N9ys1,1759083463,2025-09-28T18:17:43.000Z,TRANSFER,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,10515000000000,in,2155563.59,9,SOL,1.0
